timestamp,tag_id,tag_x,tag_y,anchor0_id,anchor1_id,anchor2_id,anchor3_id,range0,range1,range2,range3,anchor0_x,anchor0_y,anchor1_x,anchor1_y,anchor2_x,anchor2_y,anchor3_x,anchor3_y
39600,24576,17.3143,7.15266,32768,32770,32773,32772,3.715,2.356,4.74,1.05,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
40000,24576,18.4742,6.8935,32768,32770,32773,32772,3.71,2.736,5.34,1.022,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
40400,24576,17.3522,7.24079,32768,32770,32773,32772,3.836,2.59,4.839,0.965,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
40800,24576,17.0819,7.19715,32768,32770,32773,32772,3.841,2.492,4.713,0.928,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
41200,24576,17.1517,7.41161,32768,32770,32773,32772,3.756,2.651,4.558,1.031,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
41600,24576,16.778,7.38883,32768,32770,32773,32772,3.925,2.698,4.548,1.12,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
42000,24576,17.2687,7.47983,32768,32770,32773,32772,3.738,2.755,4.563,1.153,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
42400,24576,17.5321,7.40555,32768,32770,32773,32772,3.64,2.67,4.652,1.106,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
42800,24576,17.674,7.38707,32768,32770,32773,32772,3.644,2.75,4.721,1.139,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
43200,24576,17.7518,7.55812,32768,32770,32773,32772,3.593,2.956,4.605,1.204,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
43600,24576,17.5669,7.81785,32768,32770,32773,32772,3.569,3.124,4.343,1.391,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
44000,24576,17.5091,8.06478,32768,32770,32773,32772,3.64,3.443,4.211,1.635,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
44400,24576,17.1538,8.12142,32768,32770,32773,32772,3.715,3.396,4.075,1.654,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
44800,24576,16.888,8.28877,32768,32770,32773,32772,3.734,3.462,3.85,1.72,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
45200,24576,17.2333,8.39453,32768,32770,32773,32772,3.532,3.527,3.743,1.804,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
45600,24576,17.2135,8.52087,32768,32770,32773,32772,3.499,3.607,3.602,1.8,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
46000,24576,17.2644,8.6038,32768,32770,32773,32772,3.518,3.734,3.583,1.958,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
46400,24576,17.1169,8.58249,32768,32770,32773,32772,3.56,3.677,3.569,1.949,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
46800,24576,17.1161,8.5628,32768,32770,32773,32772,3.522,3.621,3.546,1.977,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
47200,24576,17.0226,8.74156,32768,32770,32773,32772,3.537,3.752,3.378,2.066,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
47600,24576,17.416,9.13738,32768,32770,32773,32772,3.569,4.338,3.265,2.183,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
48000,24576,17.1912,9.08425,32768,32770,32773,32772,3.668,4.277,3.298,2.328,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
48400,24576,16.8754,9.20859,32768,32770,32773,32772,3.724,4.254,3.129,2.529,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
48800,24576,16.7672,9.50315,32768,32770,32773,32772,3.719,4.422,2.83,2.679,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
49200,24576,17.1224,9.68617,32768,32770,32773,32772,3.64,4.67,2.703,2.928,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
49600,24576,17.1242,9.82764,32768,32770,32773,32772,3.612,4.754,2.52,3.134,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
50000,24576,17.3685,10.0246,32768,32770,32773,32772,3.466,4.881,2.258,3.279,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
50400,24576,17.3375,10.0392,32768,32770,32773,32772,3.48,4.89,2.239,3.354,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
50800,24576,17.1874,10.1164,32768,32770,32773,32772,3.537,4.904,2.178,3.35,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
51200,24576,17.2383,10.1804,32768,32770,32773,32772,3.541,4.97,2.146,3.335,20.795,8.865,18.895,5.215,18.997,11.767,17.653,6.65
