timestamp,tag_id,tag_x,tag_y,anchor0_id,anchor1_id,anchor2_id,anchor3_id,range0,range1,range2,range3,anchor0_x,anchor0_y,anchor1_x,anchor1_y,anchor2_x,anchor2_y,anchor3_x,anchor3_y
4969445,24576,17.6915,9.97859,32773,32768,32770,32769,2.272,3.317,4.895,2.23,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
4969845,24576,17.6775,9.97818,32773,32768,32769,32772,2.417,3.364,2.141,3.321,18.997,11.767,20.795,8.865,16.835,8.075,17.653,6.65
4970245,24576,17.6178,9.93932,32768,32770,32773,32769,3.598,4.825,2.773,1.972,20.795,8.865,18.895,5.215,18.997,11.767,16.835,8.075
4970645,24576,17.5123,9.88743,32773,32768,32770,32769,2.909,3.719,4.848,1.823,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
4971045,24576,17.4213,9.82735,32768,32773,32769,32772,3.607,3.045,1.753,3.116,20.795,8.865,18.997,11.767,16.835,8.075,17.653,6.65
4971445,24576,17.3086,9.73449,32770,32769,32773,32772,4.586,1.645,3.232,2.947,18.895,5.215,16.835,8.075,18.997,11.767,17.653,6.65
4971845,24576,17.286,9.65229,32770,32768,32769,32772,4.376,3.64,1.434,2.703,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4972245,24576,17.2125,9.46107,32773,32768,32769,32772,3.677,3.752,1.176,2.45,18.997,11.767,20.795,8.865,16.835,8.075,17.653,6.65
4972645,24576,17.1309,9.26349,32770,32772,32769,32773,3.939,2.225,1.064,3.864,18.895,5.215,17.653,6.65,16.835,8.075,18.997,11.767
4973045,24576,17.0738,9.06127,32773,32770,32769,32772,4.005,3.593,1.139,1.935,18.997,11.767,18.895,5.215,16.835,8.075,17.653,6.65
4973445,24576,17.2756,8.89687,32770,32769,32772,32774,3.148,0.942,1.471,4.473,18.895,5.215,16.835,8.075,17.653,6.65,13.555,9.505
4973845,24576,17.2118,8.57448,32770,32769,32768,32772,2.909,0.947,3.977,1.194,18.895,5.215,16.835,8.075,20.795,8.865,17.653,6.65
4974245,24576,17.1745,8.23875,32770,32768,32769,32772,2.548,4.16,1.213,0.876,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4974645,24576,17.1432,7.93191,32770,32768,32773,32772,2.446,4.268,5.115,0.816,18.895,5.215,20.795,8.865,18.997,11.767,17.653,6.65
4975045,24576,17.1405,7.61368,32768,32770,32769,32772,4.268,2.146,1.509,0.67,20.795,8.865,18.895,5.215,16.835,8.075,17.653,6.65
4975445,24576,17.1429,7.38943,32768,32773,32770,32772,4.338,5.331,2.094,0.656,20.795,8.865,18.997,11.767,18.895,5.215,17.653,6.65
4975845,24576,17.1711,7.14867,32770,32768,32769,32772,2.038,4.244,1.743,0.642,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4976245,24576,17.1619,6.95301,32770,32768,32769,32772,2.141,4.623,1.687,0.67,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4976645,24576,17.2322,6.89553,32769,32770,32773,32772,1.706,2.192,5.27,0.745,16.835,8.075,18.895,5.215,18.997,11.767,17.653,6.65
4977045,24576,17.1857,6.76783,32770,32769,32772,32774,2.258,1.64,0.713,4.694,18.895,5.215,16.835,8.075,17.653,6.65,13.555,9.505
4977445,24576,17.2331,6.7718,32773,32769,32770,32772,5.233,1.579,2.216,0.717,18.997,11.767,16.835,8.075,18.895,5.215,17.653,6.65
4977845,24576,17.1841,6.70007,32770,32768,32769,32772,2.253,4.45,1.57,0.675,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4978245,24576,17.1371,6.72547,32770,32773,32768,32772,2.202,5.28,4.422,0.722,18.895,5.215,18.997,11.767,20.795,8.865,17.653,6.65
4978645,24576,17.0853,6.75421,32770,32773,32768,32772,2.291,5.214,4.595,0.713,18.895,5.215,18.997,11.767,20.795,8.865,17.653,6.65
4979045,24576,17.0355,6.65976,32770,32769,32772,32768,2.192,1.537,0.727,4.717,18.895,5.215,16.835,8.075,17.653,6.65,20.795,8.865
