timestamp,tag_id,tag_x,tag_y,anchor0_id,anchor1_id,anchor2_id,anchor3_id,range0,range1,range2,range3,anchor0_x,anchor0_y,anchor1_x,anchor1_y,anchor2_x,anchor2_y,anchor3_x,anchor3_y
349678,24576,15.5994,10.5898,32774,32770,32769,32773,2.52,6.362,2.473,3.668,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
351478,24576,15.5995,10.5932,32774,32770,32769,32773,2.525,6.39,2.474,3.654,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
352078,24576,15.594,10.6002,32774,32770,32769,32773,2.534,6.427,2.455,3.71,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
352478,24576,15.5874,10.6105,32774,32769,32770,32773,2.487,2.492,6.441,3.64,13.555,9.505,16.835,8.075,18.895,5.215,18.997,11.767
352878,24576,15.5803,10.6225,32774,32770,32769,32773,2.506,6.47,2.474,3.701,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
353678,24576,15.6149,10.6223,32774,32770,32769,32772,2.562,6.399,2.474,4.193,13.555,9.505,18.895,5.215,16.835,8.075,17.653,6.65
354078,24576,15.6113,10.6243,32774,32770,32769,32773,2.562,6.409,2.45,3.663,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
354478,24576,15.5999,10.629,32774,32770,32769,32773,2.497,6.47,2.46,3.705,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
354878,24576,15.5858,10.6348,32774,32770,32769,32773,2.52,6.451,2.473,3.691,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
355278,24576,15.5841,10.6409,32774,32770,32769,32773,2.586,6.437,2.482,3.649,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
355678,24576,15.5846,10.6466,32774,32770,32769,32773,2.548,6.451,2.473,3.682,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
356078,24576,15.5762,10.6422,32774,32770,32769,32773,2.567,6.404,2.497,3.766,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
356478,24576,15.6179,10.6416,32774,32770,32769,32772,2.553,6.451,2.446,4.225,13.555,9.505,18.895,5.215,16.835,8.075,17.653,6.65
356878,24576,15.6012,10.6432,32774,32770,32769,32773,2.529,6.451,2.482,3.705,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
357278,24576,15.5927,10.6436,32774,32770,32769,32773,2.482,6.418,2.506,3.64,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
357678,24576,15.5878,10.6434,32774,32770,32769,32773,2.497,6.441,2.478,3.677,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
358078,24576,15.6162,10.6311,32774,32770,32769,32772,2.501,6.381,2.487,4.183,13.555,9.505,18.895,5.215,16.835,8.075,17.653,6.65
358478,24576,15.6054,10.6224,32774,32770,32769,32773,2.558,6.39,2.441,3.701,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
359078,24576,15.6005,10.6171,32774,32770,32769,32773,2.558,6.371,2.511,3.691,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
359478,24576,15.6009,10.6141,32774,32770,32769,32773,2.534,6.366,2.515,3.649,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
359878,24576,15.6058,10.6095,32774,32770,32769,32773,2.506,6.338,2.474,3.63,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
360278,24576,15.6077,10.6079,32774,32770,32769,32773,2.572,6.395,2.478,3.673,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
360678,24576,15.6064,10.6129,32774,32770,32769,32773,2.586,6.399,2.478,3.668,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
361078,24576,15.6091,10.6158,32774,32770,32769,32773,2.572,6.371,2.478,3.64,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
361678,24576,15.6162,10.6171,32774,32770,32769,32773,2.548,6.371,2.474,3.602,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
362078,24576,15.6154,10.619,32774,32770,32769,32773,2.506,6.404,2.497,3.668,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
362478,24576,15.6104,10.6229,32774,32770,32769,32773,2.497,6.413,2.478,3.612,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
362878,24576,15.6402,10.621,32774,32770,32769,32772,2.558,6.385,2.473,4.23,13.555,9.505,18.895,5.215,16.835,8.075,17.653,6.65
363278,24576,15.6352,10.6207,32774,32770,32769,32773,2.525,6.376,2.473,3.635,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
363678,24576,15.6314,10.6189,32774,32770,32769,32773,2.539,6.366,2.511,3.635,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
364078,24576,15.6319,10.6166,32774,32770,32769,32773,2.558,6.352,2.469,3.621,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
364478,24576,15.6298,10.6102,32774,32770,32769,32773,2.515,6.348,2.464,3.668,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
364878,24576,15.6249,10.5982,32774,32770,32769,32773,2.59,6.306,2.478,3.701,13.555,9.505,18.895,5.215,16.835,8.075,18.997,11.767
