timestamp,tag_id,tag_x,tag_y,anchor0_id,anchor1_id,anchor2_id,anchor3_id,range0,range1,range2,range3,anchor0_x,anchor0_y,anchor1_x,anchor1_y,anchor2_x,anchor2_y,anchor3_x,anchor3_y
4979645,24576,0,0,32770,32768,32773,32772,2.244,4.478,5.247,0.666,18.895,5.215,20.795,8.865,18.997,11.767,17.653,6.65
4980045,24576,17.1981,6.5339,32770,32768,32772,32774,2.206,4.315,0.684,4.792,18.895,5.215,20.795,8.865,17.653,6.65,13.555,9.505
4980445,24576,17.1565,6.34318,32770,32768,32769,32772,2.169,4.473,1.874,0.825,18.895,5.215,20.795,8.865,16.835,8.075,17.653,6.65
4980845,24576,17.0176,6.17087,32770,32768,32772,32769,2.164,4.666,0.937,2.001,18.895,5.215,20.795,8.865,17.653,6.65,16.835,8.075
4981245,24576,17.0948,5.90587,32770,32768,32772,32774,2.001,4.768,1.073,5.12,18.895,5.215,20.795,8.865,17.653,6.65,13.555,9.505
4981645,24576,17.0794,5.60074,32768,32770,32772,32769,4.998,1.991,1.396,2.679,20.795,8.865,18.895,5.215,17.653,6.65,16.835,8.075
4982045,24576,0,0,32768,32772,32769,32770,5.059,1.603,3.143,1.771,20.795,8.865,17.653,6.65,16.835,8.075,18.895,5.215
4982445,24576,17.3914,5.00779,32768,32772,32770,32769,5.195,1.814,1.682,3.565,20.795,8.865,17.653,6.65,18.895,5.215,16.835,8.075
4982845,24576,0,0,32770,32768,32772,32769,1.603,5.452,1.907,3.56,18.895,5.215,20.795,8.865,17.653,6.65,16.835,8.075
4983245,24576,0,0,32770,32773,32772,32769,1.452,7.346,1.991,3.649,18.895,5.215,18.997,11.767,17.653,6.65,16.835,8.075
4983845,24576,0,0,32770,32768,32772,32774,1.26,5.687,2.267,6.999,18.895,5.215,20.795,8.865,17.653,6.65,13.555,9.505
4984245,24576,18.3515,4.37748,32770,32773,32772,32769,1.12,7.435,2.431,4.197,18.895,5.215,18.997,11.767,17.653,6.65,16.835,8.075
4984645,24576,18.7641,4.3441,32770,32768,32774,32772,1.05,4.989,7.355,2.548,18.895,5.215,20.795,8.865,13.555,9.505,17.653,6.65
4985045,24576,19.1378,4.43096,32770,32772,32773,32768,1.101,2.769,7.374,4.708,18.895,5.215,17.653,6.65,18.997,11.767,20.795,8.865
4985445,24576,19.3206,4.45824,32773,32770,32772,32768,7.341,1.059,2.82,4.385,18.997,11.767,18.895,5.215,17.653,6.65,20.795,8.865
4985845,24576,19.4087,4.82906,32770,32772,32774,32768,0.984,2.637,7.529,4.291,18.895,5.215,17.653,6.65,13.555,9.505,20.795,8.865
4986245,24576,19.7373,5.40326,32772,32769,32770,32768,2.511,3.996,1.073,3.687,17.653,6.65,16.835,8.075,18.895,5.215,20.795,8.865
4986645,24576,19.5082,5.56003,32770,32769,32772,32768,1.162,3.785,2.342,3.326,18.895,5.215,16.835,8.075,17.653,6.65,20.795,8.865
4987045,24576,19.8937,6.04628,32769,32772,32774,32770,3.696,2.361,7.234,1.424,16.835,8.075,17.653,6.65,13.555,9.505,18.895,5.215
4987445,24576,19.9195,6.46461,32770,32769,32773,32768,1.865,3.602,5.462,2.689,18.895,5.215,16.835,8.075,18.997,11.767,20.795,8.865
4987845,24576,20.0049,6.89442,32770,32769,32773,32772,2.113,3.443,5.017,2.492,18.895,5.215,16.835,8.075,18.997,11.767,17.653,6.65
4988245,24576,20.0039,7.22357,32770,32772,32768,32769,2.385,2.506,1.935,3.345,18.895,5.215,17.653,6.65,20.795,8.865,16.835,8.075
4988645,24576,20.0565,7.64271,32770,32772,32768,32769,2.745,2.656,1.527,3.354,18.895,5.215,17.653,6.65,20.795,8.865,16.835,8.075
4989045,24576,20.0494,8.02947,32768,32770,32774,32772,1.382,3.148,6.709,2.886,20.795,8.865,18.895,5.215,13.555,9.505,17.653,6.65
4989445,24576,20.2573,8.65913,32773,32768,32772,32770,3.541,1.274,3.48,3.602,18.997,11.767,20.795,8.865,17.653,6.65,18.895,5.215
4989845,24576,19.999,9.00007,32768,32770,32769,32773,1.017,3.991,3.354,3.26,20.795,8.865,18.895,5.215,16.835,8.075,18.997,11.767
4990245,24576,0,0,32769,32773,32774,32768,3.443,2.825,6.667,0.984,16.835,8.075,18.997,11.767,13.555,9.505,20.795,8.865
4990645,24576,20.5323,9.41469,32769,32773,32774,32768,3.654,2.539,6.69,1.209,16.835,8.075,18.997,11.767,13.555,9.505,20.795,8.865
4991045,24576,18.914,10.6449,32769,32773,32772,32768,3.785,2.16,4.577,1.495,16.835,8.075,18.997,11.767,17.653,6.65,20.795,8.865
4991645,24576,20.2912,10.6473,32769,32773,32772,32768,4.239,1.687,4.717,1.926,16.835,8.075,18.997,11.767,17.653,6.65,20.795,8.865
