timestamp,tag_id,tag_x,tag_y,anchor0_id,anchor1_id,anchor2_id,anchor3_id,range0,range1,range2,range3,anchor0_x,anchor0_y,anchor1_x,anchor1_y,anchor2_x,anchor2_y,anchor3_x,anchor3_y
846817,24576,18.9937,9.62768,32773,32770,32768,32769,2.155,4.371,1.982,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
849817,24576,18.9568,9.61049,32773,32768,32770,32769,2.169,2.005,4.352,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
850217,24576,18.96,9.6085,32773,32770,32768,32769,2.169,4.399,1.991,2.858,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
850617,24576,18.9985,9.65158,32773,32770,32768,32769,2.141,4.399,1.996,2.848,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
851017,24576,19.0446,9.65043,32773,32768,32772,32769,2.183,1.991,3.35,2.848,18.997,11.767,20.795,8.865,17.653,6.65,16.835,8.075
851417,24576,18.9963,9.60959,32773,32770,32768,32769,2.164,4.399,1.954,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
851817,24576,18.9263,9.6067,32773,32770,32768,32769,2.174,4.398,2.024,2.848,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
852217,24576,18.985,9.63943,32773,32768,32770,32772,2.159,2.01,4.39,3.359,18.997,11.767,20.795,8.865,18.895,5.215,17.653,6.65
852617,24576,18.909,9.58925,32773,32768,32770,32769,2.183,2.024,4.376,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
853017,24576,19.2132,9.62731,32773,32770,32772,32768,2.164,4.38,3.335,2.01,18.997,11.767,18.895,5.215,17.653,6.65,20.795,8.865
853417,24576,18.9515,9.60745,32773,32770,32768,32769,2.178,4.352,2.015,2.839,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
853817,24576,18.9592,9.61824,32773,32770,32768,32769,2.174,4.366,2.019,2.886,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
854217,24576,19.0256,9.60859,32773,32768,32770,32769,2.202,1.968,4.417,2.848,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
854617,24576,18.9378,9.58679,32773,32770,32768,32769,2.197,4.38,2.01,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
855017,24576,18.9928,9.62628,32773,32770,32768,32769,2.169,4.376,1.996,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
855417,24576,18.979,9.58014,32773,32770,32768,32769,2.197,4.371,1.963,2.858,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
855817,24576,18.9635,9.60076,32773,32770,32768,32769,2.174,4.39,1.982,2.876,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
856417,24576,19.0539,9.63836,32773,32770,32768,32769,2.159,4.39,1.949,2.876,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
856817,24576,18.9531,9.61091,32773,32770,32768,32769,2.16,4.398,1.991,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
857217,24576,18.9156,9.59081,32773,32768,32770,32769,2.178,2.015,4.376,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
857617,24576,18.9178,9.56374,32773,32768,32770,32769,2.211,2.01,4.352,2.895,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
858017,24576,18.9572,9.60559,32773,32770,32768,32769,2.188,4.404,2.01,2.834,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
858417,24576,18.9577,9.58847,32773,32768,32770,32769,2.211,2.01,4.39,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
858817,24576,19.0294,9.59843,32773,32770,32768,32769,2.206,4.404,1.954,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
859217,24576,19.0068,9.60079,32773,32770,32768,32769,2.188,4.398,1.958,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
859617,24576,18.9725,9.5835,32773,32768,32770,32769,2.225,2.005,4.39,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
860017,24576,18.9582,9.59317,32773,32768,32770,32769,2.197,2.001,4.39,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
860417,24576,18.9427,9.59609,32773,32770,32768,32769,2.197,4.394,2.019,2.858,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
860817,24576,18.9826,9.5831,32773,32770,32768,32769,2.188,4.371,1.954,2.891,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
861417,24576,18.9783,9.58815,32773,32768,32770,32769,2.211,1.991,4.39,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
861817,24576,18.9638,9.6038,32773,32770,32768,32769,2.183,4.399,1.996,2.844,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
862217,24576,18.9905,9.62458,32773,32768,32770,32769,2.174,2.001,4.376,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
862617,24576,18.9341,9.58886,32773,32768,32770,32769,2.183,2.001,4.376,2.886,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
863017,24576,18.9286,9.57759,32773,32770,32768,32769,2.197,4.366,2.005,2.886,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
863417,24576,18.9392,9.6237,32773,32770,32768,32769,2.169,4.371,2.038,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
863817,24576,18.9855,9.61783,32773,32768,32770,32769,2.174,1.996,4.366,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
864217,24576,18.9262,9.57928,32773,32770,32768,32769,2.202,4.371,2.015,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
864617,24576,19.0112,9.58826,32773,32770,32768,32769,2.225,4.398,1.977,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
865017,24576,19.019,9.59926,32773,32770,32768,32769,2.192,4.398,1.949,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
865417,24576,18.9636,9.59741,32773,32768,32770,32769,2.174,1.977,4.385,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
865817,24576,18.9608,9.55663,32773,32768,32770,32769,2.23,1.982,4.352,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
866217,24576,19.0672,9.64769,32773,32768,32772,32769,2.197,1.982,3.364,2.858,18.997,11.767,20.795,8.865,17.653,6.65,16.835,8.075
866616,24576,19.0365,9.63006,32773,32770,32768,32769,2.164,4.38,1.958,2.881,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
867016,24576,18.9993,9.59989,32773,32768,32770,32769,2.183,1.958,4.394,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
867416,24576,18.9877,9.61953,32773,32768,32770,32769,2.169,1.991,4.366,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
867816,24576,18.9801,9.61451,32773,32770,32768,32769,2.174,4.361,1.996,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
868216,24576,18.9807,9.58307,32773,32768,32770,32769,2.216,1.987,4.385,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
868616,24576,19.0029,9.61143,32773,32770,32768,32769,2.174,4.357,1.972,2.839,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
869016,24576,19.0207,9.62132,32773,32768,32770,32769,2.164,1.949,4.417,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
869416,24576,18.9538,9.60091,32773,32770,32768,32769,2.174,4.39,1.991,2.82,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
869816,24576,18.9185,9.59512,32773,32768,32770,32769,2.183,2.024,4.385,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
870216,24576,18.9809,9.62309,32773,32770,32768,32769,2.159,4.366,1.991,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
870616,24576,19.0334,9.62391,32773,32768,32770,32769,2.174,1.963,4.376,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
871016,24576,19.0119,9.59065,32773,32770,32768,32769,2.202,4.39,1.954,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
871416,24576,18.9521,9.59896,32773,32768,32770,32769,2.188,2.005,4.394,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
871816,24576,18.9429,9.58705,32773,32768,32770,32769,2.188,1.996,4.376,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
872216,24576,18.9192,9.58876,32773,32768,32770,32769,2.192,2.024,4.38,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
872616,24576,18.9757,9.63,32773,32768,32770,32769,2.159,2.005,4.376,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
873016,24576,18.9632,9.61775,32773,32768,32770,32769,2.151,1.982,4.404,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
873416,24576,18.9433,9.60076,32773,32768,32770,32769,2.183,2.01,4.394,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
873816,24576,18.9197,9.56872,32773,32768,32770,32769,2.206,2.01,4.357,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
874216,24576,18.973,9.60665,32773,32768,32770,32769,2.174,1.982,4.399,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
874616,24576,18.9246,9.62194,32773,32770,32768,32769,2.155,4.361,2.033,2.806,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
875016,24576,18.963,9.5961,32773,32768,32770,32769,2.188,1.991,4.39,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
875416,24576,19.0026,9.59214,32773,32770,32768,32769,2.188,4.385,1.949,2.839,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
875816,24576,18.9747,9.63959,32773,32770,32768,32769,2.159,4.39,2.019,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
876216,24576,18.9736,9.61275,32773,32768,32770,32769,2.192,2.01,4.417,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
876616,24576,19.0331,9.63184,32773,32768,32770,32769,2.159,1.958,4.38,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
877016,24576,19.0278,9.624,32773,32770,32768,32769,2.174,4.376,1.968,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
877416,24576,18.9838,9.60044,32773,32770,32768,32769,2.174,4.39,1.963,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
877816,24576,18.9445,9.59806,32773,32770,32768,32769,2.183,4.39,2.005,2.834,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
878216,24576,19.0254,9.64018,32773,32768,32770,32769,2.155,1.972,4.39,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
878616,24576,18.9533,9.61527,32773,32770,32768,32769,2.159,4.404,1.996,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
879016,24576,18.9476,9.58664,32773,32768,32770,32769,2.197,2.001,4.38,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
879416,24576,19.0065,9.63533,32773,32768,32770,32769,2.16,1.987,4.385,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
880016,24576,18.9809,9.64362,32773,32770,32768,32769,2.155,4.394,2.015,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
880416,24576,19.0197,9.62387,32773,32770,32768,32769,2.155,4.366,1.954,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
880816,24576,19.0141,9.59966,32773,32768,32770,32769,2.183,1.944,4.394,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
881216,24576,18.9918,9.59899,32773,32768,32770,32769,2.178,1.958,4.39,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
881616,24576,18.9391,9.59814,32773,32768,32770,32769,2.183,2.01,4.39,2.811,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
882016,24576,18.9834,9.61749,32773,32770,32768,32769,2.159,4.408,1.972,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
882416,24576,18.9501,9.613,32773,32768,32770,32769,2.164,2.001,4.403,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
882816,24576,18.9991,9.63101,32773,32770,32768,32769,2.155,4.376,1.982,2.839,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
883216,24576,19.0016,9.60616,32773,32770,32768,32769,2.164,4.394,1.944,2.825,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
883616,24576,18.9324,9.59455,32773,32770,32768,32769,2.174,4.38,2.001,2.848,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
884016,24576,18.9685,9.57364,32773,32770,32768,32769,2.197,4.361,1.963,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
884416,24576,18.9517,9.60568,32773,32770,32768,32769,2.188,4.404,2.015,2.858,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
884816,24576,18.9163,9.59348,32773,32768,32770,32769,2.188,2.029,4.385,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
885216,24576,18.9664,9.61006,32773,32768,32770,32769,2.164,1.982,4.399,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
885616,24576,18.9875,9.60512,32773,32770,32768,32769,2.188,4.404,1.982,2.876,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
886016,24576,18.9774,9.59823,32773,32770,32768,32769,2.197,4.398,1.991,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
886416,24576,18.991,9.609,32773,32770,32768,32769,2.164,4.398,1.958,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
887016,24576,18.9971,9.62591,32773,32770,32768,32769,2.16,4.371,1.982,2.876,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
887416,24576,18.9317,9.59324,32773,32768,32770,32769,2.188,2.015,4.385,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
887816,24576,18.9743,9.5658,32773,32768,32770,32769,2.22,1.972,4.361,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
888216,24576,18.9128,9.59485,32773,32768,32770,32769,2.174,2.019,4.38,2.801,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
888616,24576,18.9472,9.60432,32773,32770,32768,32769,2.164,4.39,1.991,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
889016,24576,18.9484,9.60099,32773,32768,32770,32769,2.174,1.996,4.39,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
889616,24576,18.9477,9.61744,32773,32768,32770,32769,2.169,2.015,4.412,2.83,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
890016,24576,19.001,9.621,32773,32770,32768,32769,2.174,4.371,1.987,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
890416,24576,18.964,9.59776,32773,32768,32770,32769,2.183,1.987,4.39,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
890816,24576,19.03,9.6257,32773,32768,32770,32769,2.169,1.963,4.376,2.881,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
891216,24576,18.9991,9.58918,32773,32768,32770,32769,2.197,1.958,4.385,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
891616,24576,18.946,9.59034,32773,32768,32770,32769,2.178,1.987,4.376,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
892016,24576,18.9811,9.62919,32773,32768,32770,32769,2.169,2.01,4.38,2.834,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
892416,24576,18.9497,9.60501,32773,32768,32770,32769,2.178,2.005,4.398,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
892816,24576,18.9639,9.58371,32773,32768,32770,32769,2.197,1.982,4.376,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
893216,24576,18.9998,9.62448,32773,32768,32770,32769,2.164,1.982,4.371,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
893616,24576,19.0067,9.62091,32773,32768,32770,32769,2.174,1.982,4.371,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
894016,24576,18.9817,9.61355,32773,32768,32770,32769,2.159,1.977,4.352,2.848,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
894416,24576,18.9979,9.59523,32773,32770,32768,32769,2.197,4.394,1.968,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
894816,24576,18.9746,9.60462,32773,32768,32770,32769,2.178,1.982,4.398,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
895216,24576,18.945,9.58028,32773,32768,32770,32769,2.216,2.015,4.38,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
895616,24576,18.95,9.58227,32773,32768,32770,32769,2.192,1.987,4.371,2.886,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
896016,24576,18.944,9.58536,32773,32768,32770,32769,2.183,1.987,4.371,2.83,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
896416,24576,18.9836,9.6422,32773,32768,32770,32769,2.159,2.015,4.394,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
896816,24576,18.9113,9.60488,32773,32768,32770,32769,2.164,2.024,4.39,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
897216,24576,18.9831,9.63431,32773,32770,32768,32769,2.164,4.385,2.01,2.806,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
897617,24576,18.9829,9.61308,32773,32770,32768,32769,2.178,4.361,1.996,2.891,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
898017,24576,19.0061,9.63226,32773,32768,32770,32769,2.159,1.982,4.38,2.848,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
898417,24576,19.0657,9.65225,32773,32768,32770,32769,2.146,1.944,4.404,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
898817,24576,18.9611,9.61342,32773,32768,32770,32769,2.178,2.015,4.361,2.815,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
899217,24576,18.9234,9.60542,32773,32770,32768,32769,2.178,4.398,2.029,2.853,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
899617,24576,19.0342,9.64279,32773,32768,32770,32769,2.155,1.968,4.394,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
900017,24576,18.9404,9.5978,32773,32768,32770,32769,2.202,2.029,4.399,2.886,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
900417,24576,18.9379,9.60085,32773,32768,32770,32769,2.183,2.015,4.394,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
900817,24576,18.9857,9.63908,32773,32768,32770,32769,2.16,2.01,4.39,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
901217,24576,18.9579,9.61783,32773,32768,32770,32769,2.151,1.987,4.404,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
901817,24576,18.9589,9.65801,32773,32768,32770,32769,2.132,2.029,4.403,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
902217,24576,18.9723,9.63897,32773,32768,32770,32769,2.141,2.001,4.38,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
902817,24576,18.975,9.58988,32773,32768,32770,32769,2.206,1.991,4.39,2.848,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
903417,24576,18.9783,9.58815,32773,32768,32770,32769,2.211,1.991,4.39,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
904017,24576,18.9284,9.59496,32773,32768,32770,32769,2.183,2.015,4.385,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
904417,24576,18.93,9.61543,32773,32770,32768,32769,2.146,4.347,2.01,2.825,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
904817,24576,19.071,9.64221,32773,32770,32768,32769,2.155,4.394,1.935,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
905217,24576,18.9729,9.58926,32773,32768,32770,32769,2.188,1.972,4.38,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
905617,24576,18.9603,9.62989,32773,32768,32770,32769,2.16,2.019,4.376,2.825,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
906017,24576,18.9851,9.60081,32773,32770,32768,32769,2.178,4.343,1.977,2.848,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
906417,24576,18.9877,9.61743,32773,32768,32770,32769,2.159,1.968,4.408,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
906817,24576,18.9718,9.60879,32773,32768,32770,32769,2.183,2.005,4.357,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
907217,24576,18.9709,9.6023,32773,32768,32770,32769,2.169,1.972,4.39,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
907617,24576,19.019,9.62245,32773,32768,32770,32769,2.169,1.968,4.371,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
908017,24576,18.9481,9.60802,32773,32770,32768,32769,2.169,4.398,2.001,2.867,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
908417,24576,18.9782,9.59252,32773,32768,32770,32769,2.188,1.972,4.385,2.872,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
908817,24576,18.9981,9.602,32773,32770,32768,32769,2.174,4.343,1.963,2.872,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
909217,24576,18.9859,9.62236,32773,32770,32768,32769,2.151,4.361,1.977,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
909817,24576,18.9438,9.62333,32773,32770,32768,32769,2.16,4.366,2.024,2.872,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
910217,24576,18.9781,9.62451,32773,32768,32770,32769,2.155,1.991,4.366,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
910617,24576,19.003,9.62612,32773,32768,32770,32769,2.169,1.987,4.376,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
911217,24576,18.9288,9.60308,32773,32770,32768,32769,2.174,4.343,2.024,2.848,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
911617,24576,18.9679,9.60978,32773,32768,32770,32769,2.183,2.001,4.408,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
912017,24576,18.9865,9.61008,32773,32770,32768,32769,2.159,4.347,1.968,2.862,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
912417,24576,18.9239,9.57131,32773,32768,32770,32769,2.206,2.01,4.361,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
912817,24576,18.9922,9.60847,32773,32768,32770,32769,2.183,1.987,4.357,2.867,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
913417,24576,18.9637,9.59945,32773,32770,32768,32769,2.206,4.404,2.015,2.872,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
913817,24576,19.0016,9.61418,32773,32768,32770,32769,2.174,1.977,4.361,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
914217,24576,18.9879,9.61982,32773,32768,32770,32769,2.178,2.001,4.371,2.886,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
914617,24576,18.9606,9.58544,32773,32768,32770,32769,2.192,1.982,4.376,2.862,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
915017,24576,18.999,9.59253,32773,32768,32770,32772,2.197,1.963,4.39,3.359,18.997,11.767,20.795,8.865,18.895,5.215,17.653,6.65
915417,24576,18.9675,9.6072,32773,32770,32768,32769,2.178,4.352,2.001,2.872,18.997,11.767,18.895,5.215,20.795,8.865,16.835,8.075
915817,24576,18.9675,9.58934,32773,32768,32770,32769,2.188,1.977,4.38,2.853,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
916417,24576,18.9959,9.63242,32773,32768,32770,32769,2.159,1.991,4.38,2.858,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
916817,24576,18.9187,9.59177,32773,32768,32770,32769,2.183,2.019,4.38,2.848,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
917217,24576,18.9882,9.5813,32773,32768,32770,32769,2.211,1.972,4.38,2.839,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
917617,24576,18.9712,9.60806,32773,32768,32770,32769,2.188,2.001,4.408,2.876,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
918017,24576,18.9637,9.58973,32773,32768,32770,32769,2.197,1.991,4.385,2.844,18.997,11.767,20.795,8.865,18.895,5.215,16.835,8.075
